t,  X,  Y,  Z,  X.1,  Y.1,  Z.1,  traj_id
0.000000000000000000e+00,1.134050216674804767e+00,-3.019868469238281006e-01,1.690398101806640296e+00,1.134050216674804767e+00,-3.019868469238281006e-01,1.690398101806640296e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.137495117187500071e+00,-3.126375007629394465e-01,1.677329406738280904e+00,1.137495117187500071e+00,-3.126375007629394465e-01,1.677329406738280904e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.140751037597655948e+00,-3.233440780639648682e-01,1.664033775329589737e+00,1.140751037597655948e+00,-3.233440780639648682e-01,1.664033775329589737e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.143728790283203178e+00,-3.337862777709961204e-01,1.650962219238281126e+00,1.143728790283203178e+00,-3.337862777709961204e-01,1.650962219238281126e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.146604156494140714e+00,-3.445945358276367720e-01,1.637379798889160076e+00,1.146604156494140714e+00,-3.445945358276367720e-01,1.637379798889160076e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.149273986816406357e+00,-3.554516220092773238e-01,1.623756980895995294e+00,1.149273986816406357e+00,-3.554516220092773238e-01,1.623756980895995294e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.151722183227539054e+00,-3.663555526733399126e-01,1.610152587890625098e+00,1.151722183227539054e+00,-3.663555526733399126e-01,1.610152587890625098e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.159925231933593537e+00,-4.106308746337890558e-01,1.562543678283691673e+00,1.159925231933593537e+00,-4.106308746337890558e-01,1.562543678283691673e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.161707000732421502e+00,-4.221495819091796164e-01,1.558703842163085884e+00,1.161707000732421502e+00,-4.221495819091796164e-01,1.558703842163085884e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.163388977050781259e+00,-4.335872268676758123e-01,1.557969589233398233e+00,1.163388977050781259e+00,-4.335872268676758123e-01,1.557969589233398233e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.165039978027343492e+00,-4.453036880493164151e-01,1.559706687927245872e+00,1.165039978027343492e+00,-4.453036880493164151e-01,1.559706687927245872e+00,0.000000000000000000e+00
