t,X,Y,Z,V_X,V_Y,V_Z
0.000000000000000000e+00,6.153470993041992188e+01,-7.052573204040527344e+00,-2.433319473266601562e+01,8.485450946940481742e+00,3.603504099720705733e-01,-3.085059672774892903e+00
0.000000000000000000e+00,6.245158767700195312e+01,-7.001768112182617188e+00,-2.448164367675781250e+01,8.565155586634300988e+00,5.683822669146118001e-01,-3.309247888133026283e+00
0.000000000000000000e+00,6.335726547241210938e+01,-6.957679271697998047e+00,-2.462476348876953125e+01,8.706868625779609516e+00,7.043856513505557526e-01,-3.312102071393332015e+00
0.000000000000000000e+00,6.430570220947265625e+01,-6.917230129241943359e+00,-2.476677131652832031e+01,8.882160000930811705e+00,7.648779780069866474e-01,-3.210456400635095964e+00
0.000000000000000000e+00,6.526840209960937500e+01,-6.881484985351562500e+00,-2.490188598632812500e+01,9.064088857305861779e+00,7.479592479206733646e-01,-3.060700300984533939e+00
0.000000000000000000e+00,6.624401092529296875e+01,-6.850151538848876953e+00,-2.503008079528808594e+01,9.237961847622074174e+00,6.711000920534186953e-01,-2.894970201118761466e+00
0.000000000000000000e+00,6.723102569580078125e+01,-6.822971343994140625e+00,-2.515188789367675781e+01,9.395272839509120288e+00,5.599858666026729104e-01,-2.730420938515749185e+00
0.000000000000000000e+00,6.822809600830078125e+01,-6.799720764160156250e+00,-2.526801872253417969e+01,9.532363587534911531e+00,4.410843617408268247e-01,-2.575725383746996666e+00
0.000000000000000000e+00,6.920413970947265625e+01,-6.780715465545654297e+00,-2.537597656250000000e+01,9.645969652827817598e+00,3.384012615546628799e-01,-2.438633676455519872e+00
0.000000000000000000e+00,7.021718597412109375e+01,-6.764605998992919922e+00,-2.548292732238769531e+01,9.744862490771508234e+00,2.581588134935394185e-01,-2.312065126637699475e+00
0.000000000000000000e+00,7.123672485351562500e+01,-6.751822948455810547e+00,-2.558608627319335938e+01,9.827941753653718138e+00,2.078661452634124052e-01,-2.200030782703513488e+00
0.000000000000000000e+00,7.226179504394531250e+01,-6.742159366607666016e+00,-2.568591308593750000e+01,9.897757366902556697e+00,1.844453456691125259e-01,-2.101489593781844523e+00
0.000000000000000000e+00,7.329160308837890625e+01,-6.735414028167724609e+00,-2.578277206420898438e+01,9.956494269762805160e+00,1.804779586092874477e-01,-2.015082108209011125e+00
0.000000000000000000e+00,7.429499816894531250e+01,-6.731471061706542969e+00,-2.587424087524414062e+01,1.000464905971389129e+01,1.868182520527554846e-01,-1.941548379337593611e+00
0.000000000000000000e+00,7.533217620849609375e+01,-6.729910850524902344e+00,-2.596608924865722656e+01,1.004663909538013122e+01,1.961608388322735597e-01,-1.874863482328826825e+00
0.000000000000000000e+00,7.637227630615234375e+01,-6.730725765228271484e+00,-2.605568885803222656e+01,1.008220925560716807e+01,2.027231112275311997e-01,-1.816168810967447644e+00
0.000000000000000000e+00,7.738416290283203125e+01,-6.733649253845214844e+00,-2.614064407348632812e+01,1.011162354702183030e+01,2.036310182799691004e-01,-1.765924571822932387e+00
0.000000000000000000e+00,7.842878723144531250e+01,-6.738748550415039062e+00,-2.622621154785156250e+01,1.013750948523177620e+01,1.986834751699479706e-01,-1.719588941789416792e+00
0.000000000000000000e+00,7.947521209716796875e+01,-6.745866298675537109e+00,-2.630985069274902344e+01,1.015960345313631485e+01,1.891263823424814416e-01,-1.677988649679663213e+00
0.000000000000000000e+00,8.052313995361328125e+01,-6.754928588867187500e+00,-2.639159202575683594e+01,1.017847447969364971e+01,1.773466722311934363e-01,-1.640220293144198704e+00
0.000000000000000000e+00,8.157234954833984375e+01,-6.765886783599853516e+00,-2.647143554687500000e+01,1.019459550279587035e+01,1.659072879604628903e-01,-1.605438874548798633e+00
0.000000000000000000e+00,8.262262725830078125e+01,-6.778710365295410156e+00,-2.654933929443359375e+01,1.020837730544620392e+01,1.569991553621203073e-01,-1.572811345466851307e+00
0.000000000000000000e+00,8.364287567138671875e+01,-6.792935848236083984e+00,-2.662300872802734375e+01,1.021985269676285846e+01,1.523125343935284592e-01,-1.542569378261396285e+00
0.000000000000000000e+00,8.469476318359375000e+01,-6.809445858001708984e+00,-2.669677543640136719e+01,1.023002630130433843e+01,1.524718849191846748e-01,-1.511113838326321845e+00
0.000000000000000000e+00,8.571632385253906250e+01,-6.827325820922851562e+00,-2.676607131958007812e+01,1.023853593902170012e+01,1.582572180468159728e-01,-1.478978395222842579e+00
0.000000000000000000e+00,8.676932525634765625e+01,-6.847763538360595703e+00,-2.683473587036132812e+01,1.024611079644628830e+01,1.709958440838412197e-01,-1.443462829805941761e+00
0.000000000000000000e+00,8.782269287109375000e+01,-6.870443820953369141e+00,-2.689999961853027344e+01,1.025260126298379149e+01,1.934108858066815595e-01,-1.401596621263852871e+00
0.000000000000000000e+00,8.884436798095703125e+01,-6.894714832305908203e+00,-2.694566917419433594e+01,1.023376943132925909e+01,3.235713321078677041e-01,-1.235536055060900695e+00
0.000000000000000000e+00,8.989647674560546875e+01,-6.925126552581787109e+00,-2.695665550231933594e+01,1.022328726867694648e+01,6.369186863834839230e-01,-1.467575308469001749e+00
