t, X, Y, Z, V_X, V_Y, V_Z, traj_id
0.000000000000000000e+00,1.757481384277343739e-01,-1.068979740142822314e-02,1.210889053344726518e+00,6.562107530202939465e+00,2.920779632832414263e-01,-1.232908834072113491e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.819291114807128906e-01,-1.285759806632995675e-02,1.216674385070801057e+00,6.574042957232527407e+00,2.679967484381686749e-01,-1.217989804919227259e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.881071662902832065e-01,-1.505894541740417265e-02,1.222417030334472576e+00,6.584290611050655606e+00,2.486484311833121463e-01,-1.204677348404290305e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.942819976806640647e-01,-1.729116559028625461e-02,1.228120193481445410e+00,6.593129509083729189e+00,2.328275888587671982e-01,-1.192724644795474909e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.004532814025878629e-01,-1.955187082290649192e-02,1.233786621093750036e+00,6.600785923293991608e+00,2.194213832504690043e-01,-1.181900861383399226e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.068076515197753429e-01,-2.190865755081177271e-02,1.239588088989257875e+00,6.607638139138775735e+00,2.071955884088678701e-01,-1.171631227723744617e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.129711341857910278e-01,-2.422099828720092676e-02,1.245185050964355389e+00,6.613432384402529784e+00,1.963389488028772778e-01,-1.162394503958734004e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.193171501159668080e-01,-2.662731885910034346e-02,1.250917396545410121e+00,6.618649980978852376e+00,1.858980369149600687e-01,-1.153461010665007835e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.256586837768554399e-01,-2.905639886856078991e-02,1.256615753173828232e+00,6.623208035010787142e+00,1.762643212624355193e-01,-1.145047166401111927e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.318093299865722212e-01,-3.143457651138305275e-02,1.262113952636718661e+00,6.627085007621730028e+00,1.678861548669372539e-01,-1.137159288957986458e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.381417274475097767e-01,-3.390493631362914706e-02,1.267744674682617534e+00,6.630588339930643116e+00,1.604973612645836656e-01,-1.129347428621204186e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.444693565368651900e-01,-3.639485836029052873e-02,1.273339920043945028e+00,6.633660080895088740e+00,1.546669794009940535e-01,-1.121631016787840718e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.507919883728027544e-01,-3.890368700027466153e-02,1.278897743225097638e+00,6.636356500846825490e+00,1.506640269092349438e-01,-1.113852241661952291e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.569237327575683572e-01,-4.135641574859619252e-02,1.284254150390625071e+00,6.638662265915331595e+00,1.487809281679353113e-01,-1.105975688536661172e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.630504798889160001e-01,-4.382638454437255693e-02,1.289569816589355211e+00,6.640700308044375610e+00,1.491676426488706131e-01,-1.097638211646046802e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.691718482971191539e-01,-4.631370544433593972e-02,1.294840164184569709e+00,6.642494416630359666e+00,1.522785090919678008e-01,-1.088536263550520911e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.754726600646972834e-01,-4.889504432678224571e-02,1.300215797424316699e+00,6.644104577672808709e+00,1.591369236149344779e-01,-1.077943445111470666e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.817661094665527832e-01,-5.149433135986328930e-02,1.305209197998046911e+00,6.631321904492648578e+00,1.332366006476260190e-01,-9.950813557358687556e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.880683135986328303e-01,-5.409698963165283231e-02,1.308955993652344052e+00,6.630332779028885959e+00,-4.583871634600278355e-03,-1.175674317325814622e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.942539215087890403e-01,-5.660061359405517412e-02,1.312984313964843830e+00,6.644889617940144433e+00,-2.879481321999191046e-01,-1.526655707921874106e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.005806922912597767e-01,-5.903205394744873158e-02,1.318121566772460618e+00,6.660087902803876858e+00,-7.154395867218650285e-01,-1.970064763144806497e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.071244049072265891e-01,-6.132413864135741882e-02,1.324812812805175710e+00,6.670748840370556820e+00,-1.238556848692710322e+00,-2.461494312405984264e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.141355895996093550e-01,-6.348227024078369196e-02,1.333198471069335866e+00,6.695181164200405100e+00,-1.761356307680154831e+00,-2.644389432086378999e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.213751602172851829e-01,-6.543943881988524558e-02,1.341688270568847763e+00,6.741833494384662728e+00,-2.159915934679052629e+00,-2.616583874542814492e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.288104248046874734e-01,-6.720801353454590454e-02,1.349649124145508194e+00,6.839239588481226484e+00,-2.382919850759212199e+00,-2.494334768597777696e+00,0.000000000000000000e+00
