,t,X,Y,Z,occupancy,sig_x,sig_y,sig_z
117,0.0,343.5305376704449,-649.221346079295,-102.67361840078021,0.0,0.0,0.0,0.0
118,0.0,125.83143804213762,-280.7065508968425,-29.023015858439322,0.0,0.0,0.0,0.0
119,0.0,43.0,-140.4918670654297,-1.0,1.0,0.0,0.0,0.0
120,0.0,484.96366307315213,-882.1756251208359,-149.47375589295496,0.0,0.0,0.0,0.0
121,0.0,248.48732016171192,-424.31052084995895,-60.1257216820771,0.0,0.0,0.0,0.0
122,0.0,208.6269168682644,-347.13287387886885,-45.06523557477928,0.0,0.0,0.0,0.0
123,0.0,92.0,-121.32003021240234,-1.0,1.0,0.0,0.0,0.0
124,0.0,499.0657841911694,-909.0982357756365,-154.73380119540596,0.0,0.0,0.0,0.0
125,0.0,480.1355731881689,-871.8641876200962,-147.4776018145702,0.0,0.0,0.0,0.0
126,0.0,240.5710444620036,-400.66198086521774,-55.64936045278736,0.0,0.0,0.0,0.0
127,0.0,98.0,-120.23736572265625,-1.0,1.0,0.0,0.0,0.0
128,0.0,459.6175043353541,-830.9608905756709,-139.51609826768802,0.0,0.0,0.0,0.0
129,0.0,371.97656680360024,-657.6564923425219,-105.7588963265386,0.0,0.0,0.0,0.0
130,0.0,165.84216813220934,-250.0387862453689,-26.36083511289229,0.0,0.0,0.0,0.0
131,0.0,100.0,-119.84007263183594,-1.0,1.0,0.0,0.0,0.0
132,0.0,456.91946711412857,-679.9657310039022,-110.20647029965458,0.0,0.0,0.0,0.0
133,0.0,349.6013391932705,-181.34929057669217,-13.283830553466544,0.0,0.0,0.0,0.0
134,0.0,348.1815860664386,-174.75290034792886,-12.001603370544302,0.0,0.0,0.0,0.0
135,0.0,336.0,-118.15538787841797,-1.0,1.0,0.0,0.0,0.0
136,0.0,509.67389630794077,-914.0042824982933,-155.61493375582026,0.0,0.0,0.0,0.0
137,0.0,444.2635800385365,-213.69678578963965,-16.453388404134586,0.0,0.0,0.0,0.0
138,0.0,439.39067651150765,-161.5256442121987,-6.086204390254608,0.0,0.0,0.0,0.0
139,0.0,437.0,-135.93016052246094,-1.0,1.0,0.0,0.0,0.0
140,0.0,505.36740927979247,-826.5511425936315,-138.13701913949694,0.0,0.0,0.0,0.0
141,0.0,492.64859535046025,-604.6277783600315,-93.83082116588909,0.0,0.0,0.0,0.0
142,0.0,475.90104394925737,-312.40926095105624,-35.490449801259274,0.0,0.0,0.0,0.0
143,0.0,466.0,-139.6515655517578,-1.0,1.0,0.0,0.0,0.0
144,0.0,519.7325487806739,-810.0081636819191,-135.55763336262712,0.0,0.0,0.0,0.0
145,0.0,525.7240560506922,-720.0927308560049,-118.13279111862923,0.0,0.0,0.0,0.0
146,0.0,560.2940591346478,-201.29559851477836,-17.59434178272167,0.0,0.0,0.0,0.0
147,0.0,566.0,-115.66570281982422,-1.0,1.0,0.0,0.0,0.0
148,0.0,515.7211763297074,-873.5179621226414,-147.86423568245868,0.0,0.0,0.0,0.0
149,0.0,534.4222477347438,-607.5349106423685,-96.31432580944536,0.0,0.0,0.0,0.0
150,0.0,539.9006077335015,-529.6168663754167,-81.21310737808707,0.0,0.0,0.0,0.0
151,0.0,569.0,-115.7397689819336,-1.0,1.0,0.0,0.0,0.0
